annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,inc,d_ref,scaling_factor
0.0001296,1e-05,0.431565,0.0122445,0.987756,0.999812,0.391029,5.59209e-05,9.13063e-07,7.36562e-05,0.0,0.26,1.0
0.0001296,2.2e-05,0.44002,0.0269367,0.973063,0.999773,0.319054,5.70165e-05,2.00865e-06,7.25606e-05,0.0,0.26,1.0
0.0001296,4.6e-05,0.456917,0.0562993,0.943701,0.99972,0.251756,5.9206e-05,4.1982e-06,7.03711e-05,0.0,0.26,1.0
0.0001296,0.0001,0.495,0.122474,0.877526,0.999638,0.180803,6.41406e-05,9.1328e-06,6.54364e-05,0.0,0.26,1.0
0.0001296,0.00022,0.579541,0.26938,0.73062,0.999499,0.108845,7.50953e-05,2.00875e-05,5.44818e-05,0.0,0.26,1.0
0.0001296,0.00046,0.748541,0.563046,0.436954,0.999216,0.0415418,9.69938e-05,4.19859e-05,3.25833e-05,0.0,0.26,1.0
0.0001296,0.001,0.905686,0.836113,0.163887,0.998415,0.00771264,0.000117356,6.23483e-05,1.22209e-05,0.0,0.26,1.0
0.0001296,0.0022,0.987331,0.977986,0.0220145,0.997287,0.000605013,0.000127935,7.29276e-05,1.6416e-06,0.0,0.26,1.0
0.0001296,0.0046,0.999982,0.999969,3.11762e-05,0.994384,4.13986e-07,0.000129575,7.45669e-05,2.32479e-09,0.0,0.26,1.0
0.0001296,0.01,0.999999,0.999998,1.79944e-06,0.988667,1.18405e-08,0.000129577,7.45691e-05,1.34183e-10,0.0,0.26,1.0
0.000323,1e-05,0.422905,0.0131382,0.986862,0.999823,1.05234,0.000136597,2.48156e-06,0.000186399,15.0,0.26,1.0
0.000323,2.2e-05,0.432131,0.0289147,0.971085,0.999786,0.856561,0.000139577,5.46144e-06,0.00018342,15.0,0.26,1.0
0.000323,4.6e-05,0.450573,0.0604516,0.939548,0.999737,0.673521,0.000145533,1.14182e-05,0.000177463,15.0,0.26,1.0
0.000323,0.0001,0.492106,0.131475,0.868525,0.999659,0.480683,0.000158948,2.48331e-05,0.000164048,15.0,0.26,1.0
0.000323,0.00022,0.584294,0.289122,0.710878,0.999529,0.285099,0.000188725,5.46097e-05,0.000134271,15.0,0.26,1.0
0.000323,0.00046,0.768622,0.604331,0.395669,0.999268,0.102114,0.000248262,0.000114147,7.47343e-05,15.0,0.26,1.0
0.000323,0.001,0.924832,0.871458,0.128542,0.998471,0.0158784,0.000298717,0.000164602,2.42791e-05,15.0,0.26,1.0
0.000323,0.0022,0.990873,0.984392,0.0156084,0.997246,0.00107062,0.000320048,0.000185933,2.94813e-06,15.0,0.26,1.0
0.000323,0.0046,0.999887,0.999806,0.000193682,0.992939,5.1807e-06,0.00032296,0.000188844,3.65828e-08,15.0,0.26,1.0
0.000323,0.01,0.999989,0.999982,1.84111e-05,0.989163,3.20899e-07,0.000322993,0.000188878,3.4775e-09,15.0,0.26,1.0
0.0002848,1e-05,0.454072,0.0123412,0.987659,0.999813,0.831625,0.000129341,1.94311e-06,0.000155506,30.0,0.26,1.0
0.0002848,2.2e-05,0.462258,0.0271522,0.972848,0.999774,0.678371,0.000131673,4.2751e-06,0.000153174,30.0,0.26,1.0
0.0002848,4.6e-05,0.478632,0.0567743,0.943226,0.999722,0.535007,0.000136337,8.93909e-06,0.00014851,30.0,0.26,1.0
0.0002848,0.0001,0.515495,0.123465,0.876535,0.999641,0.384015,0.000146838,1.94395e-05,0.00013801,30.0,0.26,1.0
0.0002848,0.00022,0.597335,0.271524,0.728476,0.999503,0.230842,0.000170149,4.27513e-05,0.000114698,30.0,0.26,1.0
0.0002848,0.00046,0.761091,0.567781,0.432219,0.999222,0.0874661,0.000216795,8.93968e-05,6.80526e-05,30.0,0.26,1.0
0.0002848,0.001,0.909019,0.835403,0.164597,0.998474,0.0169809,0.000258932,0.000131534,2.59158e-05,30.0,0.26,1.0
0.0002848,0.0022,0.98889,0.9799,0.0200995,0.997283,0.00116492,0.000281683,0.000154285,3.16466e-06,30.0,0.26,1.0
0.0002848,0.0046,0.999814,0.999663,0.000336874,0.994226,9.18582e-06,0.000284794,0.000157396,5.30407e-08,30.0,0.26,1.0
0.0002848,0.01,0.99999,0.999981,1.85827e-05,0.989243,2.71987e-07,0.000284845,0.000157447,2.92584e-09,30.0,0.26,1.0
0.0003083,1e-05,0.46423,0.0112777,0.988722,0.999799,0.821664,0.000143112,1.88395e-06,0.000165166,45.0,0.26,1.0
0.0003083,2.2e-05,0.471561,0.0248063,0.975194,0.999758,0.673178,0.000145372,4.1439e-06,0.000162906,45.0,0.26,1.0
0.0003083,4.6e-05,0.486222,0.0518615,0.948139,0.999704,0.534258,0.000149892,8.66348e-06,0.000158387,45.0,0.26,1.0
0.0003083,0.0001,0.519236,0.112786,0.887214,0.999618,0.38791,0.000160069,1.88409e-05,0.000148209,45.0,0.26,1.0
0.0003083,0.00022,0.592549,0.248081,0.751919,0.999475,0.239423,0.00018267,4.1442e-05,0.000125608,45.0,0.26,1.0
0.0003083,0.00046,0.739219,0.518748,0.481252,0.9992,0.100469,0.000227885,8.6657e-05,8.03934e-05,45.0,0.26,1.0
0.0003083,0.001,0.898417,0.812537,0.187463,0.998434,0.0200035,0.000276963,0.000135735,3.13158e-05,45.0,0.26,1.0
0.0003083,0.0022,0.98453,0.971451,0.0285491,0.997302,0.00176753,0.00030351,0.000162281,4.76914e-06,45.0,0.26,1.0
0.0003083,0.0046,0.999372,0.998841,0.00115904,0.994683,3.64181e-05,0.000308085,0.000166857,1.93618e-07,45.0,0.26,1.0
0.0003083,0.01,0.999974,0.999952,4.76637e-05,0.988843,7.13677e-07,0.000308271,0.000167042,7.96224e-09,45.0,0.26,1.0
0.0003203,1e-05,0.45479,0.0108204,0.98918,0.999792,0.840476,0.000145652,1.91003e-06,0.000174611,60.0,0.26,1.0
0.0003203,2.2e-05,0.461945,0.0238017,0.976198,0.99975,0.68991,0.000147944,4.20149e-06,0.000172319,60.0,0.26,1.0
0.0003203,4.6e-05,0.476258,0.0497707,0.950229,0.999694,0.549017,0.000152528,8.78556e-06,0.000167735,60.0,0.26,1.0
0.0003203,0.0001,0.508473,0.108219,0.891781,0.999607,0.400664,0.000162845,1.91029e-05,0.000157418,60.0,0.26,1.0
0.0003203,0.00022,0.580022,0.238031,0.761969,0.999462,0.250111,0.00018576,4.20174e-05,0.000134503,60.0,0.26,1.0
0.0003203,0.00046,0.723174,0.497752,0.502248,0.999188,0.109212,0.000231606,8.78635e-05,8.86573e-05,60.0,0.26,1.0
0.0003203,0.001,0.89271,0.805343,0.194657,0.998366,0.0210271,0.000285902,0.00014216,3.4361e-05,60.0,0.26,1.0
0.0003203,0.0022,0.976548,0.957451,0.0425492,0.997282,0.00276331,0.000312752,0.00016901,7.51082e-06,60.0,0.26,1.0
0.0003203,0.0046,0.998709,0.997659,0.00234141,0.994653,7.73038e-05,0.00031985,0.000176107,4.13308e-07,60.0,0.26,1.0
0.0003203,0.01,0.999963,0.999932,6.77383e-05,0.98836,1.02727e-06,0.000320251,0.000176509,1.19572e-08,60.0,0.26,1.0
0.0003445,1e-05,0.44369,0.0101729,0.989827,0.999781,0.8771,0.000152852,1.96967e-06,0.00019165,75.0,0.26,1.0
0.0003445,2.2e-05,0.450548,0.0223759,0.977624,0.999738,0.721856,0.000155215,4.33243e-06,0.000189288,75.0,0.26,1.0
0.0003445,4.6e-05,0.464268,0.0467877,0.953212,0.99968,0.57658,0.000159942,9.05903e-06,0.000184561,75.0,0.26,1.0
0.0003445,0.0001,0.495149,0.101732,0.898268,0.999589,0.423606,0.00017058,1.96974e-05,0.000173923,75.0,0.26,1.0
0.0003445,0.00022,0.563731,0.223758,0.776242,0.99944,0.268369,0.000194207,4.33241e-05,0.000150296,75.0,0.26,1.0
0.0003445,0.00046,0.700973,0.46795,0.53205,0.999163,0.123062,0.000241487,9.06044e-05,0.000103016,75.0,0.26,1.0
0.0003445,0.001,0.878335,0.783526,0.216474,0.998339,0.0252325,0.000302589,0.000151706,4.19138e-05,75.0,0.26,1.0
0.0003445,0.0022,0.968644,0.944209,0.0557906,0.997259,0.00394054,0.0003337,0.000182818,1.08022e-05,75.0,0.26,1.0
0.0003445,0.0046,0.998185,0.99677,0.00322999,0.994651,0.000116924,0.000343877,0.000192995,6.25392e-07,75.0,0.26,1.0
0.0003445,0.01,0.999955,0.99992,7.98972e-05,0.987944,1.28311e-06,0.000344487,0.000193605,1.54697e-08,75.0,0.26,1.0
0.0003918,1e-05,0.438716,0.00929811,0.990702,0.999765,0.935862,0.000171901,2.06409e-06,0.000219926,90.0,0.26,1.0
0.0003918,2.2e-05,0.445038,0.0204557,0.979544,0.999719,0.773105,0.000174378,4.54096e-06,0.00021745,90.0,0.26,1.0
0.0003918,4.6e-05,0.457681,0.0427724,0.957228,0.999658,0.620836,0.000179332,9.49507e-06,0.000212495,90.0,0.26,1.0
0.0003918,0.0001,0.486144,0.0930115,0.906989,0.999563,0.460476,0.000190485,2.06477e-05,0.000201343,90.0,0.26,1.0
0.0003918,0.00022,0.549336,0.204549,0.795451,0.999407,0.297792,0.000215245,4.54079e-05,0.000176583,90.0,0.26,1.0
0.0003918,0.00046,0.67581,0.427783,0.572217,0.999127,0.145487,0.000264801,9.49639e-05,0.000127027,90.0,0.26,1.0
0.0003918,0.001,0.861545,0.755619,0.244381,0.998278,0.0314953,0.000337577,0.00016774,5.42503e-05,90.0,0.26,1.0
0.0003918,0.0022,0.955369,0.921224,0.0787761,0.997107,0.00604582,0.00037434,0.000204503,1.74875e-05,90.0,0.26,1.0
0.0003918,0.0046,0.996714,0.994201,0.00579935,0.994459,0.000232343,0.00039054,0.000220703,1.2874e-06,90.0,0.26,1.0
0.0003918,0.01,0.999948,0.999909,9.14195e-05,0.987509,1.62467e-06,0.000391807,0.00022197,2.02943e-08,90.0,0.26,1.0
0.0004695,1e-05,0.435155,0.00838141,0.991619,0.999744,1.03715,0.000204304,2.24148e-06,0.000265193,105.0,0.26,1.0
0.0004695,2.2e-05,0.440885,0.0184398,0.98156,0.999695,0.8604,0.000206994,4.93144e-06,0.000262503,105.0,0.26,1.0
0.0004695,4.6e-05,0.452342,0.0385531,0.961447,0.99963,0.69507,0.000212373,1.03104e-05,0.000257124,105.0,0.26,1.0
0.0004695,0.0001,0.478131,0.0838283,0.916172,0.99953,0.52095,0.000224481,2.24186e-05,0.000245016,105.0,0.26,1.0
0.0004695,0.00022,0.535421,0.184404,0.815596,0.999366,0.344226,0.000251378,4.93159e-05,0.000218118,105.0,0.26,1.0
0.0004695,0.00046,0.650029,0.385606,0.614394,0.999081,0.178859,0.000305187,0.000103124,0.00016431,105.0,0.26,1.0
0.0004695,0.001,0.836586,0.713118,0.286882,0.998257,0.0440061,0.000392775,0.000190712,7.67222e-05,105.0,0.26,1.0
0.0004695,0.0022,0.93944,0.893683,0.106317,0.996861,0.00905908,0.000441064,0.000239002,2.84328e-05,105.0,0.26,1.0
0.0004695,0.0046,0.993881,0.989258,0.010742,0.994299,0.000503869,0.000466624,0.000264562,2.87277e-06,105.0,0.26,1.0
0.0004695,0.01,0.999943,0.999899,0.000100812,0.987067,2.08464e-06,0.00046947,0.000267407,2.69607e-08,105.0,0.26,1.0
0.0006195,1e-05,0.439455,0.00760634,0.992394,0.999723,1.25471,0.000272261,2.66179e-06,0.000347282,120.0,0.26,1.0
0.0006195,2.2e-05,0.444612,0.0167369,0.983263,0.999671,1.04476,0.000275456,5.85697e-06,0.000344087,120.0,0.26,1.0
0.0006195,4.6e-05,0.454926,0.0349975,0.965003,0.999602,0.848388,0.000281846,1.22471e-05,0.000337697,120.0,0.26,1.0
0.0006195,0.0001,0.478131,0.0760787,0.923921,0.999496,0.641674,0.000296222,2.66233e-05,0.00032332,120.0,0.26,1.0
0.0006195,0.00022,0.529686,0.167353,0.832647,0.999325,0.431807,0.000328163,5.85643e-05,0.000291379,120.0,0.26,1.0
0.0006195,0.00046,0.63281,0.349924,0.650076,0.999034,0.235446,0.000392053,0.000122454,0.00022749,120.0,0.26,1.0
0.0006195,0.001,0.816701,0.675486,0.324514,0.998202,0.0631528,0.000505981,0.000236382,0.000113562,120.0,0.26,1.0
0.0006195,0.0022,0.922444,0.862694,0.137306,0.996736,0.0147207,0.000571493,0.000301894,4.80495e-05,120.0,0.26,1.0
0.0006195,0.0046,0.990999,0.984064,0.0159358,0.994276,0.000974287,0.000613966,0.000344367,5.57664e-06,120.0,0.26,1.0
0.0006195,0.01,0.99994,0.999894,0.000106438,0.986635,2.78682e-06,0.000619506,0.000349906,3.72471e-08,120.0,0.26,1.0
0.0007034,1e-05,0.457397,0.00731214,0.992688,0.999714,1.33404,0.000321732,2.81134e-06,0.000381665,135.0,0.26,1.0
0.0007034,2.2e-05,0.462196,0.0160912,0.983909,0.99966,1.11226,0.000325107,6.18668e-06,0.000378289,135.0,0.26,1.0
0.0007034,4.6e-05,0.471789,0.0336411,0.966359,0.999589,0.904885,0.000331855,1.29342e-05,0.000371542,135.0,0.26,1.0
0.0007034,0.0001,0.49338,0.0731422,0.926858,0.999481,0.686493,0.000347042,2.81214e-05,0.000356355,135.0,0.26,1.0
0.0007034,0.00022,0.541332,0.160869,0.839131,0.999306,0.46486,0.000380771,6.18503e-05,0.000322626,135.0,0.26,1.0
0.0007034,0.00046,0.637276,0.336399,0.663601,0.999009,0.25742,0.000448258,0.000129337,0.000255139,135.0,0.26,1.0
0.0007034,0.001,0.812351,0.656697,0.343303,0.998171,0.0721638,0.000571405,0.000252484,0.000131992,135.0,0.26,1.0
0.0007034,0.0022,0.916942,0.848047,0.151953,0.996731,0.0178706,0.000644974,0.000326054,5.84224e-05,135.0,0.26,1.0
0.0007034,0.0046,0.990037,0.981773,0.0182274,0.994246,0.00121788,0.000696389,0.000377468,7.008e-06,135.0,0.26,1.0
0.0007034,0.01,0.999929,0.99987,0.000129923,0.986284,3.64193e-06,0.000703347,0.000384426,4.99522e-08,135.0,0.26,1.0
0.0008197,1e-05,0.490349,0.00740769,0.992592,0.99972,1.49406,0.000401916,3.11756e-06,0.000417737,150.0,0.26,1.0
0.0008197,2.2e-05,0.494915,0.0163015,0.983698,0.999668,1.24814,0.000405659,6.86057e-06,0.000413994,150.0,0.26,1.0
0.0008197,4.6e-05,0.504042,0.0340771,0.965923,0.999601,1.01823,0.00041314,1.43415e-05,0.000406513,150.0,0.26,1.0
0.0008197,0.0001,0.524588,0.0740914,0.925909,0.999498,0.776066,0.00042998,3.11817e-05,0.000389673,150.0,0.26,1.0
0.0008197,0.00022,0.570209,0.162944,0.837056,0.999336,0.53034,0.000467374,6.85755e-05,0.000352279,150.0,0.26,1.0
0.0008197,0.00046,0.661546,0.340831,0.659169,0.999076,0.300242,0.000542238,0.00014344,0.000277414,150.0,0.26,1.0
0.0008197,0.001,0.841317,0.690951,0.309049,0.998406,0.0815717,0.000689588,0.00029079,0.000130065,150.0,0.26,1.0
0.0008197,0.0022,0.949098,0.900863,0.0991371,0.996867,0.0133174,0.00077793,0.000379132,4.17223e-05,150.0,0.26,1.0
0.0008197,0.0046,0.994592,0.989467,0.0105326,0.994248,0.00077059,0.00081522,0.000416422,4.43269e-06,150.0,0.26,1.0
0.0008197,0.01,0.999882,0.999769,0.0002306,0.983547,5.89851e-06,0.000819556,0.000420758,9.70491e-08,150.0,0.26,1.0
0.00106,1e-05,0.459104,0.00842138,0.991579,0.999749,2.28793,0.000486527,4.86817e-06,0.000573205,165.0,0.26,1.0
0.00106,2.2e-05,0.464618,0.0185295,0.981471,0.999702,1.90392,0.00049237,1.07114e-05,0.000567361,165.0,0.26,1.0
0.00106,4.6e-05,0.475653,0.0387598,0.96124,0.99964,1.54453,0.000504065,2.2406e-05,0.000555667,165.0,0.26,1.0
0.00106,0.0001,0.500469,0.0842522,0.915748,0.999546,1.16643,0.000530363,4.87039e-05,0.000529369,165.0,0.26,1.0
0.00106,0.00022,0.555582,0.185286,0.814714,0.999398,0.78266,0.000588767,0.000107109,0.000470964,165.0,0.26,1.0
0.00106,0.00046,0.665912,0.387544,0.612456,0.999164,0.423312,0.000705688,0.000224029,0.000354044,165.0,0.26,1.0
0.00106,0.001,0.881541,0.78284,0.21716,0.998473,0.0821885,0.000934197,0.000452538,0.000125534,165.0,0.26,1.0
0.00106,0.0022,0.96713,0.939743,0.0602572,0.996981,0.0115362,0.0010249,0.00054324,3.48331e-05,165.0,0.26,1.0
0.00106,0.0046,0.996546,0.993669,0.00633115,0.994146,0.000625197,0.00105607,0.000574413,3.65986e-06,165.0,0.26,1.0
0.00106,0.01,0.9998,0.999634,0.000366124,0.983519,1.28419e-05,0.00105952,0.000577861,2.11646e-07,165.0,0.26,1.0
0.0001296,1e-05,0.431565,0.0122445,0.987756,0.999812,0.391029,5.59209e-05,9.13063e-07,7.36562e-05,180.0,0.26,1.0
0.0001296,2.2e-05,0.44002,0.0269367,0.973063,0.999773,0.319054,5.70165e-05,2.00865e-06,7.25606e-05,180.0,0.26,1.0
0.0001296,4.6e-05,0.456917,0.0562993,0.943701,0.99972,0.251756,5.9206e-05,4.1982e-06,7.03711e-05,180.0,0.26,1.0
0.0001296,0.0001,0.495,0.122474,0.877526,0.999638,0.180803,6.41406e-05,9.1328e-06,6.54364e-05,180.0,0.26,1.0
0.0001296,0.00022,0.579541,0.26938,0.73062,0.999499,0.108845,7.50953e-05,2.00875e-05,5.44818e-05,180.0,0.26,1.0
0.0001296,0.00046,0.748541,0.563046,0.436954,0.999216,0.0415418,9.69938e-05,4.19859e-05,3.25833e-05,180.0,0.26,1.0
0.0001296,0.001,0.905686,0.836113,0.163887,0.998415,0.00771264,0.000117356,6.23483e-05,1.22209e-05,180.0,0.26,1.0
0.0001296,0.0022,0.987331,0.977986,0.0220145,0.997287,0.000605013,0.000127935,7.29276e-05,1.6416e-06,180.0,0.26,1.0
0.0001296,0.0046,0.999982,0.999969,3.11762e-05,0.994384,4.13986e-07,0.000129575,7.45669e-05,2.32479e-09,180.0,0.26,1.0
0.0001296,0.01,0.999999,0.999998,1.79944e-06,0.988667,1.18405e-08,0.000129577,7.45691e-05,1.34183e-10,180.0,0.26,1.0
